Jkn;Kohanimi;Keel;Kohanime staatus;Kohanime olek;Nimeobjekti liik;Lisainfo;Maakond,omavalitsus,asustusüksus;X;Y;
53;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Toila vald, Päite küla;6589886.74;709619;
54;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Kastre vald, Paluküla;6462180.3;672598.28;
55;Karlose;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Vinni vald, Tammiku küla;6564379.67;652025.85;
56;Karlsbergi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kose vald, Vardja küla;6559046.68;569646.13;
57;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Vilsandi küla;6474248.51;377627.44;
58;Karli-Otsa-Liiva;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Sudiste küla;6500535.64;650847.56;
59;Karlijõe;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Mustvee vald, Omedu küla;6519214.32;672623.67;
60;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Kastre vald, Kaagvere küla;6471038.6;670555.57;
61;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Väike-Maarja vald, Avanduse küla;6550334.39;638080.6;
62;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Tartu vald, Väänikvere küla;6487810.7;640240.89;
63;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Elva vald, Vehendi küla;6455890.38;624455.12;
64;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Nõo vald, Meeri küla;6462947.89;644861.31;
65;Karlamäe;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kiili vald, Sõmeru küla;6568813.25;549882.98;
66;Karl-Elmari;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kuusalu vald, Turbuneeme küla;6610057.21;600375.3;
67;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Lüganuse vald, Soonurme küla;6580612.77;668008.23;
68;Karlssoni;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne maakond, Lääne-Nigula vald, Einbi küla / Enby;6541720.06;466510;
69;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Elva vald, Raigaste küla;6444135.4;631575.14;
70;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Alutaguse vald, Kiikla küla;6575338.61;684908.46;
71;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Tartu vald, Raigastvere küla;6496947.31;653951.17;
72;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Jõgeva maakond, Jõgeva vald, Raadivere küla;6506378.37;649556.88;
73;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Ida-Viru maakond, Narva-Jõesuu linn, Laagna küla;6590735.97;727457.32;
74;Karl-Jaagupi;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Lääne-Viru maakond, Haljala vald, Pedassaare küla;6611165.37;615320.83;
75;Karl-Martini;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Võru maakond, Võru vald, Lompka küla;6407852.71;674829.73;
76;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Saare maakond, Saaremaa vald, Undva küla;6486606.23;381579.53;
77;Karli;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Valga maakond, Otepää vald, Märdi küla;6430400.28;642508.37;
78;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Peipsiääre vald, Piibumäe küla;6516200.18;676231.81;
79;Karla;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Harju maakond, Kuusalu vald, Andineeme küla;6596085.73;583137.14;
80;Karlimäe;eesti;ametlik põhinimi;kehtiv;maaüksus, krunt, talu;;Tartu maakond, Nõo vald, Vissi küla;6457964.6;643105.39;
